model,feature,accuracy,precision,recall,f1,cohen_kappa,mcc,roc_auc,n_samples,n_missing
o3-mini,Beating,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Peircing,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0
o3-mini,Scarific,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Tattoo,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Lacerate,0.8,0.4444444444444444,0.4444444444444444,0.4444444444444444,-0.11111111111111116,-0.1111111111111111,0.4444444444444444,10,0
o3-mini,Circumci,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Foul,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Vomit,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Swallow,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Sucking,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Discmfort,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Onegatve,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Fasting,0.8,0.4,0.5,0.4444444444444444,0.0,0.0,,10,0
o3-mini,Athletic,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Zdeprive,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Dehydrat,0.9,0.45,0.5,0.47368421052631576,0.0,0.0,,10,0
o3-mini,Immobile,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Oendure,0.9,,,,0.0,,,10,0
o3-mini,Isolate,0.8,0.4,0.5,0.4444444444444444,0.0,0.0,,10,0
o3-mini,Fear,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Disgust,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Humili8,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Dramatic,0.7,0.625,0.8333333333333333,0.6000000000000001,0.2857142857142857,0.408248290463863,0.8333333333333334,10,0
o3-mini,HolyObjc,0.4,0.625,0.625,0.4,0.11764705882352955,0.25,0.625,10,0
o3-mini,HolySite,0.8,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.5238095238095238,0.5238095238095238,0.7619047619047619,10,0
o3-mini,Construct,0.9,0.9285714285714286,0.875,0.8901098901098901,0.7826086956521738,0.8017837257372732,0.875,10,0
o3-mini,BigCrowd,0.9,0.9444444444444444,0.75,0.803921568627451,0.6153846153846154,0.6666666666666666,0.75,10,0
o3-mini,MockFite,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0
o3-mini,Costume,0.7,0.8125,0.7,0.6703296703296704,0.4,0.5,0.7,10,0
o3-mini,Fire,0.8,0.4444444444444444,0.4444444444444444,0.4444444444444444,-0.11111111111111116,-0.1111111111111111,0.4444444444444444,10,0
o3-mini,KillAniml,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0
o3-mini,KillPpl,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Offering,0.7,0.6666666666666667,0.6904761904761905,0.6703296703296704,0.34782608695652173,0.3563483225498992,0.6904761904761905,10,0
o3-mini,River,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Miniatur,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Ppossession,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Speech,0.7,0.6666666666666667,0.6904761904761905,0.6703296703296704,0.34782608695652173,0.3563483225498992,0.6904761904761906,10,0
o3-mini,RciteTxt,0.8,0.6666666666666666,0.8888888888888888,0.6875,0.41176470588235303,0.5091750772173156,0.8888888888888888,10,0
o3-mini,Naming,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Blood,0.8,0.6666666666666666,0.8888888888888888,0.6875,0.41176470588235303,0.5091750772173156,0.8888888888888888,10,0
o3-mini,Weapons,0.9,0.9444444444444444,0.75,0.803921568627451,0.6153846153846154,0.6666666666666666,0.75,10,0
o3-mini,Sxual int,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Narrativ,0.8,0.6666666666666666,0.8888888888888888,0.6875,0.41176470588235303,0.5091750772173156,0.8888888888888888,10,0
o3-mini,Bury Offs,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0
o3-mini,Burn Offs,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Confess,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Ospectac,0.8,0.4,0.5,0.4444444444444444,0.0,0.0,,10,0
o3-mini,Games,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,Eating,0.9,0.45,0.5,0.47368421052631576,0.0,0.0,,10,0
o3-mini,Joyful,0.9,,,,0.0,,,10,0
o3-mini,SmokeTab,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,AlchTab,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,SexTab,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,TalkTab,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,AvEup,0.2,0.2,0.13333333333333333,0.16,0.11111111111111127,0.17622684421256035,,10,0
o3-mini,PartiPEM,0.1,0.023809523809523808,0.14285714285714285,0.04081632653061224,0.021739130434782483,0.0318464877649241,,10,0
o3-mini,PartiPDM,0.1,0.08333333333333333,0.05555555555555555,0.06666666666666667,0.042553191489361764,0.06950480468569159,,10,0
o3-mini,AvDys,0.4,0.22916666666666666,0.3333333333333333,0.25757575757575757,0.18918918918918937,0.27185747308321606,,10,0
o3-mini,SensPag,0.0,0.0,0.0,0.0,-0.020408163265306145,-0.028618190351607124,,10,0
o3-mini,Smarker,0.1,0.05,0.125,0.07142857142857142,0.0,0.0,,10,0
o3-mini,Exegesis,0.2,0.125,0.0625,0.08333333333333333,-0.17647058823529393,-0.2651650429449553,,10,0
o3-mini,AcquireE,0.4,0.26666666666666666,0.16666666666666666,0.2,0.17808219178082196,0.20848759720736484,,10,0
o3-mini,SER,0.9,0.45,0.5,0.47368421052631576,0.0,0.0,,10,0
o3-mini,FloodMyt,0.0,0.0,0.0,0.0,0.0,0.0,,10,0
o3-mini,OriginMyt,0.0,,,,0.0,,,10,0
o3-mini,WrldTree,0.0,,,,0.0,,,10,0
gpt-4o-mini,Wedding,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,O union,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Dissolu,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Tworldly,0.6,0.6,0.7777777777777778,0.5238095238095238,0.19999999999999996,0.3333333333333333,0.7777777777777778,10,0
gpt-4o-mini,Apotropa,0.6,,,,0.0,,,10,0
gpt-4o-mini,Oworldly,0.1,,,,0.0,,,10,0
gpt-4o-mini,Initiate,0.8,0.6666666666666666,0.8888888888888888,0.6875,0.41176470588235303,0.5091750772173156,0.8888888888888888,10,0
gpt-4o-mini,Install,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Divine,0.5,,,,0.0,,,10,0
gpt-4o-mini,Liturgy,0.7,0.625,0.8333333333333333,0.6000000000000001,0.2857142857142857,0.408248290463863,0.8333333333333334,10,0
gpt-4o-mini,Ogather,0.6,0.6,0.7777777777777778,0.5238095238095238,0.19999999999999996,0.3333333333333333,0.7777777777777778,10,0
gpt-4o-mini,NewBorn,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Funerary,0.9,0.45,0.5,0.47368421052631576,0.0,0.0,,10,0
gpt-4o-mini,Commerate,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Protect,0.6,,,,0.0,,,10,0
gpt-4o-mini,HouseD,0.8,,,,0.0,,,10,0
gpt-4o-mini,Other,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
gpt-4o-mini,Duration,0.4,0.35555555555555557,0.3,0.3148148148148148,0.04761904761904756,0.050027800947380255,,10,0
gpt-4o-mini,Gender,0.4,0.2708333333333333,0.34375,0.25,0.07692307692307687,0.10555008273018728,,10,0
gpt-4o-mini,Solitary,0.8,0.4,0.5,0.4444444444444444,0.0,0.0,,10,0
gpt-4o-mini,Im kin,0.3,0.5625,0.6111111111111112,0.29292929292929293,0.05405405405405406,0.16666666666666666,0.6111111111111112,10,0
gpt-4o-mini,Ex Kin,0.7,,,,0.0,,,10,0
gpt-4o-mini,group<15,0.5,0.2777777777777778,0.4166666666666667,0.3333333333333333,-0.19047619047619047,-0.2721655269759087,0.4166666666666667,10,0
