feature,accuracy,precision,recall,f1,cohen_kappa,mcc,roc_auc,n_samples,n_missing
Zdeprive,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
Dehydrat,0.9,0.45,0.5,0.47368421052631576,0.0,0.0,,10,0
Immobile,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
Oendure,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
Isolate,0.8,0.4,0.5,0.4444444444444444,0.0,0.0,,10,0
Fear,0.9,,,,0.0,,,10,0
Disgust,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
Humili8,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
Dramatic,0.3,0.375,0.16666666666666666,0.23076923076923078,-0.20689655172413768,-0.408248290463863,,10,0
HolyObjc,0.5,0.5,0.5,0.45054945054945056,0.0,0.0,,10,0
HolySite,0.7,0.35,0.5,0.4117647058823529,0.0,0.0,,10,0
Construct,0.8,0.875,0.75,0.7619047619047619,0.5454545454545454,0.6123724356957946,,10,0
BigCrowd,0.5,0.35714285714285715,0.3125,0.3333333333333333,-0.3157894736842106,-0.3273268353539886,,10,0
MockFite,1.0,1.0,1.0,1.0,1.0,1.0,,10,0
Costume,0.8,0.8,0.8,0.8,0.6,0.6,,10,0
Fire,0.6,0.42857142857142855,0.3333333333333333,0.375,-0.17647058823529393,-0.21821789023599236,,10,0
KillAniml,1.0,1.0,1.0,1.0,1.0,1.0,,10,0
KillPpl,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
Offering,0.7,0.6666666666666667,0.6904761904761905,0.6703296703296704,0.34782608695652173,0.3563483225498992,,10,0
River,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
Miniatur,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
Ppossession,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
Speech,0.5,0.4583333333333333,0.45238095238095233,0.45054945054945056,-0.0869565217391306,-0.0890870806374748,,10,0
RciteTxt,0.9,0.75,0.9444444444444444,0.803921568627451,0.6153846153846154,0.6666666666666666,,10,0
Naming,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
Blood,0.8,0.6666666666666666,0.8888888888888888,0.6875,0.41176470588235303,0.5091750772173156,,10,0
Weapons,0.9,0.9444444444444444,0.75,0.803921568627451,0.6153846153846154,0.6666666666666666,,10,0
Sxual int,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
Narrativ,0.7,0.4375,0.3888888888888889,0.4117647058823529,-0.15384615384615374,-0.16666666666666666,,10,0
Bury Offs,1.0,1.0,1.0,1.0,1.0,1.0,,10,0
Burn Offs,0.8,,,,0.0,,,10,0
Confess,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
Ospectac,0.7,0.3888888888888889,0.4375,0.4117647058823529,-0.15384615384615374,-0.16666666666666666,,10,0
Games,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
Eating,0.9,0.45,0.5,0.47368421052631576,0.0,0.0,,10,0
Joyful,0.7,,,,0.0,,,10,0
SmokeTab,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
AlchTab,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
SexTab,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
TalkTab,1.0,0.0,0.0,0.0,0.0,0.0,,10,0
AvEup,0.0,0.0,0.0,0.0,-0.030927835051546282,-0.08451542547285165,,10,0
PartiPEM,0.0,0.0,0.0,0.0,-0.030927835051546504,-0.04348282767393363,,10,0
PartiPDM,0.0,0.0,0.0,0.0,0.0,0.0,,10,0
AvDys,0.3,0.049999999999999996,0.16666666666666666,0.07692307692307693,0.0,0.0,,10,0
SensPag,0.0,0.0,0.0,0.0,-0.04166666666666674,-0.062136976600120006,,10,0
Smarker,0.0,0.0,0.0,0.0,-0.020408163265306145,-0.04351941398892446,,10,0
Exegesis,0.5,0.25,0.15625,0.19230769230769232,0.16666666666666663,0.23211917272131485,,10,0
AcquireE,0.1,0.16666666666666666,0.027777777777777776,0.047619047619047616,0.04255319148936154,0.07856742013183861,,10,0
SER,0.1,0.2,0.02222222222222222,0.04,0.010989010989011172,0.02817180849095055,,10,0
FloodMyt,0.0,0.0,0.0,0.0,0.0,0.0,,10,0
OriginMyt,0.0,,,,0.0,,,10,0
WrldTree,0.0,,,,0.0,,,10,0
